from,to,year,relation,land,wvb
Arthur_Rudolph,Firma_Heylandt,1,function,1,0
Arthur_Rudolph,Nationalsozialistische_Deutsche_Arbeiterpartei,1,function,1,0
Arthur_Rudolph,Verein_fuer_Raumschifffahrt,1,function,1,0
Arthur_Rudolph,Berlin,1,place,1,0
Burschenschaft_Markommannia,Darmstadt,1,place,1,0
Eidgenoessische_Technische_Hochschule_Zuerich,Zuerich,1,place,3,0
Firma_Heylandt,Berlin,1,place,1,0
Georg_August_Universitaet_Goettingen,Goettingen,1,function,1,0
Georg_Rickhey,Nationalsozialistische_Deutsche_Arbeiterpartei,1,function,1,0
Georg_Rickhey,Berlin,1,place,1,0
Gesellschaft_fuer_Raketenforschung,Hannover,1,place,1,0
Heeresversuchsanstalt,Kummersdorf,1,place,1,0
Heereswaffenamt,Berlin,1,place,1,0
Heinrich_Himmler,Nationalsozialistische_Deutsche_Arbeiterpartei,1,function,1,0
Heinrich_Himmler,Schutzstaffel,1,function,1,0
Hermann_Oberth,Georg_August_Universitaet_Goettingen,1,function,1,0
Hermann_Oberth,Ludwig_Maximilians_Universitaet_Muenchen,1,function,1,0
Hermann_Oberth,Raketenflugplatz_Berlin,1,function,1,0
Hermann_Oberth,Ruprecht_Karls_Universitaet_Heidelberg,1,function,1,0
Hermann_Oberth,Technische_Universitaet_Klausenburg,1,function,3,0
Hermann_Oberth,Universitaet_Budapest,1,function,3,0
Hermann_Oberth,Verein_fuer_Raumschifffahrt,1,function,1,0
Hermann_Oberth,Berlin,1,place,1,0
Hermann_Oberth,Budapest,1,place,3,0
Hermann_Oberth,Goettingen,1,place,3,0
Hermann_Oberth,Heidelberg,1,place,1,0
Hermann_Oberth,Klausenburg,1,place,3,0
Hermann_Oberth,Muenchen,1,place,1,0
Hermann_Oberth,Reinickendorf,1,place,1,0
Hubertus_Strughold,Georg_August_Universitaet_Goettingen,1,function,1,0
Hubertus_Strughold,Julius_Maximilians_Universitaet_Wuerzburg,1,function,1,0
Hubertus_Strughold,Ludwig_Maximilians_Universitaet_Muenchen,1,function,1,0
Hubertus_Strughold,Physiologisches_Institut_Freiburg,1,function,1,0
Hubertus_Strughold,Physiologisches_Institut_Western_University,1,function,2,0
Hubertus_Strughold,Physiologisches_Institut_Wuerzburg,1,function,1,0
Hubertus_Strughold,Westfaelische_Wilhelms_Universitaet_Muenster,1,function,1,0
Hubertus_Strughold,Chicago,1,place,2,0
Hubertus_Strughold,Cleveland,1,place,2,0
Hubertus_Strughold,Freiburg,1,place,1,0
Hubertus_Strughold,Goettingen,1,place,1,0
Hubertus_Strughold,Muenchen,1,place,1,0
Hubertus_Strughold,Muenster,1,place,1,0
Hubertus_Strughold,Wuerzburg,1,place,1,0
Julius_Maximilians_Universitaet_Wuerzburg,Wuerzburg,1,place,1,0
Klaus_Riedel,Raketenflugplatz_Berlin,1,function,1,0
